full_path	relative_path	size_bytes	modified_time	extension	top_level	second_level	excluded	include_in_github_candidate	size_mb	size_gb	human_size
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/01_qc/sample_missingness.tsv	results/01_qc/sample_missingness.tsv	289436859	2026-05-18 14:03:47.318434	tsv	results	results/01_qc	FALSE	TRUE	276.028	0.27	276.03 MB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/01_qc/sample_missingness.rds	results/01_qc/sample_missingness.rds	9261123	2026-05-18 14:04:00.446619	rds	results	results/01_qc	FALSE	TRUE	8.832	0.009	8.83 MB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/snp_map.tsv	results/02_snp_panels/snp_map.tsv	8474606	2026-05-18 15:29:26.528959	tsv	results	results/02_snp_panels	FALSE	TRUE	8.082	0.008	8.08 MB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P1_macroregion_africa_vs_asia/snp_mi.tsv	results/02_snp_panels/panels/P1_macroregion_africa_vs_asia/snp_mi.tsv	3285936	2026-05-18 15:29:36.461603	tsv	results	results/02_snp_panels	FALSE	TRUE	3.134	0.003	3.13 MB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P3_subregion_within_asia/snp_mi.tsv	results/02_snp_panels/panels/P3_subregion_within_asia/snp_mi.tsv	3173643	2026-05-18 15:30:01.271408	tsv	results	results/02_snp_panels	FALSE	TRUE	3.027	0.003	3.03 MB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P2_subregion_within_africa/snp_mi.tsv	results/02_snp_panels/panels/P2_subregion_within_africa/snp_mi.tsv	3071553	2026-05-18 15:29:48.577984	tsv	results	results/02_snp_panels	FALSE	TRUE	2.929	0.003	2.93 MB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P1_macroregion_africa_vs_asia/snp_map.tsv	results/02_snp_panels/panels/P1_macroregion_africa_vs_asia/snp_map.tsv	2864196	2026-05-18 14:35:58.349716	tsv	results	results/02_snp_panels	FALSE	TRUE	2.732	0.003	2.73 MB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P3_subregion_within_asia/snp_map.tsv	results/02_snp_panels/panels/P3_subregion_within_asia/snp_map.tsv	2810879	2026-05-18 15:29:25.555002	tsv	results	results/02_snp_panels	FALSE	TRUE	2.681	0.003	2.68 MB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P2_subregion_within_africa/snp_map.tsv	results/02_snp_panels/panels/P2_subregion_within_africa/snp_map.tsv	2799827	2026-05-18 14:57:00.741264	tsv	results	results/02_snp_panels	FALSE	TRUE	2.67	0.003	2.67 MB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P1_macroregion_africa_vs_asia/per_og_stats.tsv	results/02_snp_panels/panels/P1_macroregion_africa_vs_asia/per_og_stats.tsv	2404350	2026-05-18 14:35:58.23093	tsv	results	results/02_snp_panels	FALSE	TRUE	2.293	0.002	2.29 MB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P3_subregion_within_asia/per_og_stats.tsv	results/02_snp_panels/panels/P3_subregion_within_asia/per_og_stats.tsv	2353308	2026-05-18 15:29:25.428673	tsv	results	results/02_snp_panels	FALSE	TRUE	2.244	0.002	2.24 MB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P2_subregion_within_africa/per_og_stats.tsv	results/02_snp_panels/panels/P2_subregion_within_africa/per_og_stats.tsv	2345196	2026-05-18 14:57:00.614908	tsv	results	results/02_snp_panels	FALSE	TRUE	2.237	0.002	2.24 MB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/01_qc/og_qc.tsv	results/01_qc/og_qc.tsv	2096136	2026-05-18 14:03:45.431501	tsv	results	results/01_qc	FALSE	TRUE	1.999	0.002	2 MB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/01_qc/label_consistency_by_og_phy.tsv	results/01_qc/label_consistency_by_og_phy.tsv	1892334	2026-05-18 13:59:59.569403	tsv	results	results/01_qc	FALSE	TRUE	1.805	0.002	1.8 MB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P2_subregion_within_africa/snp_matrix.rds	results/02_snp_panels/panels/P2_subregion_within_africa/snp_matrix.rds	956813	2026-05-18 14:57:01.882904	rds	results	results/02_snp_panels	FALSE	TRUE	0.912	0.001	934.4 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P1_macroregion_africa_vs_asia/snp_matrix.rds	results/02_snp_panels/panels/P1_macroregion_africa_vs_asia/snp_matrix.rds	888945	2026-05-18 14:35:59.281199	rds	results	results/02_snp_panels	FALSE	TRUE	0.848	0.001	868.1 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P3_subregion_within_asia/snp_matrix.rds	results/02_snp_panels/panels/P3_subregion_within_asia/snp_matrix.rds	801369	2026-05-18 15:29:26.444935	rds	results	results/02_snp_panels	FALSE	TRUE	0.764	0.001	782.6 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/snp_map.rds	results/02_snp_panels/snp_map.rds	790523	2026-05-18 15:29:26.94208	rds	results	results/02_snp_panels	FALSE	TRUE	0.754	0.001	772 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/01_qc/label_consistency_metadata_not_seen_phy.tsv	results/01_qc/label_consistency_metadata_not_seen_phy.tsv	555704	2026-05-18 13:59:59.64395	tsv	results	results/01_qc	FALSE	TRUE	0.53	0.001	542.7 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/01_qc/label_consistency_labels_not_in_metadata_phy.tsv	results/01_qc/label_consistency_labels_not_in_metadata_phy.tsv	431852	2026-05-18 13:59:59.628002	tsv	results	results/01_qc	FALSE	TRUE	0.412	0	421.7 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P1_macroregion_africa_vs_asia/snp_mi.rds	results/02_snp_panels/panels/P1_macroregion_africa_vs_asia/snp_mi.rds	373413	2026-05-18 15:29:36.63596	rds	results	results/02_snp_panels	FALSE	TRUE	0.356	0	364.7 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P3_subregion_within_asia/snp_mi.rds	results/02_snp_panels/panels/P3_subregion_within_asia/snp_mi.rds	349556	2026-05-18 15:30:01.447132	rds	results	results/02_snp_panels	FALSE	TRUE	0.333	0	341.4 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/06_rf_corroboration/RF_P3_subregion_within_asia_variable_importance.tsv	results/06_rf_corroboration/RF_P3_subregion_within_asia_variable_importance.tsv	335877	2026-05-18 15:34:17.583769	tsv	results	results/06_rf_corroboration	FALSE	TRUE	0.32	0	328 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P1_macroregion_africa_vs_asia/snp_map.rds	results/02_snp_panels/panels/P1_macroregion_africa_vs_asia/snp_map.rds	305924	2026-05-18 14:35:58.486542	rds	results	results/02_snp_panels	FALSE	TRUE	0.292	0	298.8 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/06_rf_corroboration/RF_P2_subregion_within_africa_variable_importance.tsv	results/06_rf_corroboration/RF_P2_subregion_within_africa_variable_importance.tsv	301859	2026-05-18 15:33:45.196358	tsv	results	results/06_rf_corroboration	FALSE	TRUE	0.288	0	294.8 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P3_subregion_within_asia/snp_map.rds	results/02_snp_panels/panels/P3_subregion_within_asia/snp_map.rds	282786	2026-05-18 15:29:25.680759	rds	results	results/02_snp_panels	FALSE	TRUE	0.27	0	276.2 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P2_subregion_within_africa/snp_mi.rds	results/02_snp_panels/panels/P2_subregion_within_africa/snp_mi.rds	261390	2026-05-18 15:29:48.727783	rds	results	results/02_snp_panels	FALSE	TRUE	0.249	0	255.3 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/06_rf_corroboration/RF_P1_macroregion_africa_vs_asia_variable_importance.tsv	results/06_rf_corroboration/RF_P1_macroregion_africa_vs_asia_variable_importance.tsv	258834	2026-05-18 15:33:21.553335	tsv	results	results/06_rf_corroboration	FALSE	TRUE	0.247	0	252.8 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P2_subregion_within_africa/snp_map.rds	results/02_snp_panels/panels/P2_subregion_within_africa/snp_map.rds	232959	2026-05-18 14:57:00.884293	rds	results	results/02_snp_panels	FALSE	TRUE	0.222	0	227.5 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P1_macroregion_africa_vs_asia/per_og_stats.rds	results/02_snp_panels/panels/P1_macroregion_africa_vs_asia/per_og_stats.rds	232589	2026-05-18 14:35:58.327385	rds	results	results/02_snp_panels	FALSE	TRUE	0.222	0	227.1 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/01_qc/reference_nonmissing_by_og.rds	results/01_qc/reference_nonmissing_by_og.rds	220617	2026-05-18 14:04:01.293468	rds	results	results/01_qc	FALSE	TRUE	0.21	0	215.4 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P3_subregion_within_asia/per_og_stats.rds	results/02_snp_panels/panels/P3_subregion_within_asia/per_og_stats.rds	215386	2026-05-18 15:29:25.523378	rds	results	results/02_snp_panels	FALSE	TRUE	0.205	0	210.3 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/01_qc/og_qc.rds	results/01_qc/og_qc.rds	188420	2026-05-18 14:03:45.514565	rds	results	results/01_qc	FALSE	TRUE	0.18	0	184 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/02_snp_panels/panels/P2_subregion_within_africa/per_og_stats.rds	results/02_snp_panels/panels/P2_subregion_within_africa/per_og_stats.rds	179027	2026-05-18 14:57:00.728914	rds	results	results/02_snp_panels	FALSE	TRUE	0.171	0	174.8 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/06_rf_corroboration/RF_P1_macroregion_africa_vs_asia_cv_rows.tsv	results/06_rf_corroboration/RF_P1_macroregion_africa_vs_asia_cv_rows.tsv	174541	2026-05-18 15:33:21.556316	tsv	results	results/06_rf_corroboration	FALSE	TRUE	0.166	0	170.5 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/01_qc/label_consistency_by_og_phy.rds	results/01_qc/label_consistency_by_og_phy.rds	112859	2026-05-18 13:59:59.628002	rds	results	results/01_qc	FALSE	TRUE	0.108	0	110.2 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/06_rf_corroboration/RF_P3_subregion_within_asia_cv_rows.tsv	results/06_rf_corroboration/RF_P3_subregion_within_asia_cv_rows.tsv	111711	2026-05-18 15:34:17.5914	tsv	results	results/06_rf_corroboration	FALSE	TRUE	0.107	0	109.1 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/01_qc/ogs_pass_qc.txt	results/01_qc/ogs_pass_qc.txt	88677	2026-05-18 14:03:45.530693	txt	results	results/01_qc	FALSE	TRUE	0.085	0	86.6 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/05_loo_validation/step4b_loo_predictions_all_panels.tsv	results/05_loo_validation/step4b_loo_predictions_all_panels.tsv	87409	2026-05-18 15:32:38.867689	tsv	results	results/05_loo_validation	FALSE	TRUE	0.083	0	85.4 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/05_loo_validation/step4b_loo_raw_all_panels.tsv.gz	results/05_loo_validation/step4b_loo_raw_all_panels.tsv.gz	82659	2026-05-18 15:32:38.931091	gz	results	results/05_loo_validation	FALSE	TRUE	0.079	0	80.7 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/05_loo_validation/step4b_loo_validation_summary.xlsx	results/05_loo_validation/step4b_loo_validation_summary.xlsx	77662	2026-05-18 15:32:40.46525	xlsx	results	results/05_loo_validation	FALSE	TRUE	0.074	0	75.8 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/04_origin_assignment/step4_assignment_multilevel_macroregion_first.xlsx	results/04_origin_assignment/step4_assignment_multilevel_macroregion_first.xlsx	63592	2026-05-18 15:30:06.678288	xlsx	results	results/04_origin_assignment	FALSE	TRUE	0.061	0	62.1 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/06_rf_corroboration/RF_P2_subregion_within_africa_cv_rows.tsv	results/06_rf_corroboration/RF_P2_subregion_within_africa_cv_rows.tsv	58608	2026-05-18 15:33:45.196358	tsv	results	results/06_rf_corroboration	FALSE	TRUE	0.056	0	57.2 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/steps/07_authority_facing_report/run.R	steps/07_authority_facing_report/run.R	52869	2026-05-18 11:14:42.387003	r	steps	steps/07_authority_facing_report	FALSE	TRUE	0.05	0	51.6 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/07_authority_report/FINAL_origin_tracing_authority_REPORT.xlsx	results/07_authority_report/FINAL_origin_tracing_authority_REPORT.xlsx	49499	2026-05-18 15:34:20.68363	xlsx	results	results/07_authority_report	FALSE	TRUE	0.047	0	48.3 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/steps/05_full_panel_loo_validation/run.R	steps/05_full_panel_loo_validation/run.R	44666	2026-05-18 11:14:42.360872	r	steps	steps/05_full_panel_loo_validation	FALSE	TRUE	0.043	0	43.6 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/01_qc/metadata_clean.tsv	results/01_qc/metadata_clean.tsv	43783	2026-05-18 13:58:04.274323	tsv	results	results/01_qc	FALSE	TRUE	0.042	0	42.8 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/steps/04_hierarchical_origin_assignment/run.R	steps/04_hierarchical_origin_assignment/run.R	43218	2026-05-18 11:14:42.323378	r	steps	steps/04_hierarchical_origin_assignment	FALSE	TRUE	0.041	0	42.2 KB
C:/Users/virgilio/Documents/GitHub/PESTFLY/PESTFLY_origin_tracing_MolEcolRes_publication_pipeline/results/05_loo_validation/LOO_P1_macroregion_loo_predictions.tsv	results/05_loo_validation/LOO_P1_macroregion_loo_predictions.tsv	42070	2026-05-18 15:31:24.935135	tsv	results	results/05_loo_validation	FALSE	TRUE	0.04	0	41.1 KB
