sample_id	sample_origin_country	macroregion_call	macroregion_confidence	macroregion_reason	macroregion_maxk_used	macroregion_maxk_post	macroregion_maxk_gap	macroregion_agreement	macroregion_tail_agreement	macroregion_tail_fraction	macroregion_stable_from_k	macroregion_nk	macroregion_nk_total_tested	macroregion_nk_usable_for_stability	macroregion_maxk_nsnps	subregion_call	subregion_confidence	subregion_reason	subregion_panel	subregion_maxk_used	subregion_maxk_post	subregion_maxk_gap	subregion_agreement	subregion_tail_agreement	subregion_tail_fraction	subregion_stable_from_k	subregion_nk	subregion_nk_total_tested	subregion_nk_usable_for_stability	subregion_maxk_nsnps	country	population	macroregion_3	subregion	is_reference	step4_macroregion_call	step4_macroregion_confidence	step4_macroregion_reason	step4_macroregion_posterior	step4_macroregion_gap	step4_macroregion_agreement	step4_macroregion_tail_agreement	step4_macroregion_nK_usable	step4_subregion_call	step4_subregion_confidence	step4_subregion_reason	step4_subregion_panel	step4_subregion_posterior	step4_subregion_gap	step4_subregion_agreement	step4_subregion_tail_agreement	step4_subregion_nK_usable	commodity	sample_origin_country_source	expected_macroregion_from_origin_country	expected_subregion_from_origin_country	vanbergen_macroregion	vanbergen_note	vanbergen_macroregion_consistency	rf_macro_call	rf_macro_top_prob	rf_macro_gap	rf_macro_confidence	rf_macro_status	rf_macro_rf_vs_step4	rf_africa_sub_call	rf_africa_sub_top_prob	rf_africa_sub_gap	rf_africa_sub_confidence	rf_africa_sub_status	rf_africa_sub_rf_vs_step4	rf_asia_sub_call	rf_asia_sub_top_prob	rf_asia_sub_gap	rf_asia_sub_confidence	rf_asia_sub_status	rf_asia_sub_rf_vs_step4	rf_relevant_subregion_call	rf_relevant_subregion_top_prob	rf_relevant_subregion_gap	rf_relevant_subregion_confidence	rf_macro_agrees_step4	rf_subregion_agrees_step4	rf_macro_strong_discordance	rf_subregion_strong_discordance	rf_corroboration	rf_corroboration_detail	macro_accepted	macro_high	macro_moderate	subregion_accepted	subregion_high	subregion_moderate	reported_level	reported_origin	reported_confidence	reporting_basis	reliability_code	reliability_explanation	subregion_withheld_explanation	action_note	report_statement	commodity_origin_vs_assignment	commodity_origin_mismatch_detail
Bd_2023_1	Unknown	Asia	Uncertain	too_few_usable_K	11086	1	1	1	1	0.5	5000	3	16	3	687	""	Uncertain	macroregion_uncertain	""												Belgium	Belgium	Others	Other	FALSE	Asia	Uncertain	too_few_usable_K	1	1	1	1	3		Uncertain	macroregion_uncertain								Unknown for trapped adults or unavailable metadata			Asia	Macroregion-level interpretation from Vanbergen et al. 2025 Table 2 / discussion	Consistent with Vanbergen et al. 2025 macroregion	Asia	0.891	0.782	Moderate	ok	step4_macroregion_uncertain	E_Africa	0.594	0.245	Low	ok	not_interpreted_step4_not_africa	SE_Asia	0.821	0.71	Low	ok	step4_subregion_uncertain	SE_Asia	0.821	0.71	Low	TRUE		FALSE	FALSE	RF supports macroregion	RF macroregion call agrees with Step 4 macroregion call (RF=Asia, Step4=Asia) with accepted RF confidence (Moderate).	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	uncertain	Uncertain	Uncertain	Do not report origin: Step 4 macroregion assignment is uncertain.	RED	No stable Step 4 macroregion assignment; report as uncertain.	Not applicable: subregion is not interpreted because the Step 4 macroregion assignment itself is uncertain (too_few_usable_K).	Do not infer origin beyond Uncertain. Consider additional data/reference sampling.	Bd_2023_1: origin assignment is uncertain.	Not assessable: sample-origin country unknown	No known commodity-origin country is available for this sample. This is expected for trapped adults.
Bd_2023_2	Unknown	Africa	Uncertain	too_few_usable_K	11086	1	1	1	1	0.5	1000	5	16	5	3292	""	Uncertain	macroregion_uncertain	""												Belgium	Belgium	Others	Other	FALSE	Africa	Uncertain	too_few_usable_K	1	1	1	1	5		Uncertain	macroregion_uncertain								Unknown for trapped adults or unavailable metadata			Africa	Macroregion-level interpretation from Vanbergen et al. 2025 Table 2 / discussion	Consistent with Vanbergen et al. 2025 macroregion	Asia	0.594	0.188	Uncertain	ok	step4_macroregion_uncertain	E_Africa	0.585	0.248	Low	ok	step4_subregion_uncertain	SE_Asia	0.699	0.515	Low	ok	not_interpreted_step4_not_asia	E_Africa	0.585	0.248	Low	FALSE		FALSE	FALSE	RF inconclusive	RF did not provide a clear accepted-confidence corroboration or contradiction.	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	uncertain	Uncertain	Uncertain	Do not report origin: Step 4 macroregion assignment is uncertain.	RED	No stable Step 4 macroregion assignment; report as uncertain.	Not applicable: subregion is not interpreted because the Step 4 macroregion assignment itself is uncertain (too_few_usable_K).	Do not infer origin beyond Uncertain. Consider additional data/reference sampling.	Bd_2023_2: origin assignment is uncertain.	Not assessable: sample-origin country unknown	No known commodity-origin country is available for this sample. This is expected for trapped adults.
Bd_2023_3	Unknown	Asia	Uncertain	too_few_usable_K	11086	1	1	1	1	0.5	1000	5	16	5	2883	""	Uncertain	macroregion_uncertain	""												Belgium	Belgium	Others	Other	FALSE	Asia	Uncertain	too_few_usable_K	1	1	1	1	5		Uncertain	macroregion_uncertain								Unknown for trapped adults or unavailable metadata			Asia	Macroregion-level interpretation from Vanbergen et al. 2025 Table 2 / discussion	Consistent with Vanbergen et al. 2025 macroregion	Asia	0.898	0.796	Moderate	ok	step4_macroregion_uncertain	E_Africa	0.576	0.238	Low	ok	not_interpreted_step4_not_africa	SE_Asia	0.643	0.402	Low	ok	step4_subregion_uncertain	SE_Asia	0.643	0.402	Low	TRUE		FALSE	FALSE	RF supports macroregion	RF macroregion call agrees with Step 4 macroregion call (RF=Asia, Step4=Asia) with accepted RF confidence (Moderate).	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	uncertain	Uncertain	Uncertain	Do not report origin: Step 4 macroregion assignment is uncertain.	RED	No stable Step 4 macroregion assignment; report as uncertain.	Not applicable: subregion is not interpreted because the Step 4 macroregion assignment itself is uncertain (too_few_usable_K).	Do not infer origin beyond Uncertain. Consider additional data/reference sampling.	Bd_2023_3: origin assignment is uncertain.	Not assessable: sample-origin country unknown	No known commodity-origin country is available for this sample. This is expected for trapped adults.
Bd_2023_4	Unknown	Asia	High	ok	11086	1	1	1	1	0.5	200	7	16	7	11079	S_Asia	High	ok	P3_Asia	11086	1	1	1	1	0.5	500	6	16	6	11069	Belgium	Belgium	Others	Other	FALSE	Asia	High	ok	1	1	1	1	7	S_Asia	High	ok	P3_Asia	1	1	1	1	6		Unknown for trapped adults or unavailable metadata			Asia	Macroregion-level interpretation from Vanbergen et al. 2025 Table 2 / discussion	Consistent with Vanbergen et al. 2025 macroregion	Asia	0.952	0.904	High	ok	supports_step4_macroregion	E_Africa	0.519	0.173	Uncertain	ok	not_interpreted_step4_not_africa	S_Asia	0.41	0.085	Uncertain	ok	supports_step4_subregion	S_Asia	0.41	0.085	Uncertain	TRUE	TRUE	FALSE	FALSE	RF supports macroregion	RF macroregion call agrees with Step 4 macroregion call (RF=Asia, Step4=Asia) with accepted RF confidence (High).	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	subregion	S_Asia	High	Report subregion: Step 4 subregion call is High/Moderate.	GREEN	Stable Step 4 assignment with high confidence and no strong RF contradiction.	Not applicable: subregion is reported as S_Asia with High Step 4 confidence.	Report subregion as the best-supported origin. Retain full audit trail.	Bd_2023_4: best-supported genetic origin = S_Asia (subregion, GREEN).	Not assessable: sample-origin country unknown	No known commodity-origin country is available for this sample. This is expected for trapped adults.
Bd_2023_5	Unknown	Asia	High	ok	11086	1	1	1	1	0.5	200	7	16	7	11080	E_Asia	Uncertain	low_global_K_agreement	P3_Asia	11086	1	1	0.833333333333333	1	0.5	1000	6	16	6	11071	Belgium	Belgium	Others	Other	FALSE	Asia	High	ok	1	1	1	1	7	E_Asia	Uncertain	low_global_K_agreement	P3_Asia	1	1	0.833333333333333	1	6		Unknown for trapped adults or unavailable metadata			Asia	Macroregion-level interpretation from Vanbergen et al. 2025 Table 2 / discussion	Consistent with Vanbergen et al. 2025 macroregion	Asia	0.967	0.934	High	ok	supports_step4_macroregion	E_Africa	0.554	0.252	Low	ok	not_interpreted_step4_not_africa	E_Asia	0.409	0.035	Uncertain	ok	step4_subregion_uncertain	E_Asia	0.409	0.035	Uncertain	TRUE	TRUE	FALSE	FALSE	RF supports macroregion	RF macroregion call agrees with Step 4 macroregion call (RF=Asia, Step4=Asia) with accepted RF confidence (High).	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	macroregion	Asia	High	Report macroregion only: Step 4 macroregion is High/Moderate, but the subregion call is withheld because subregion assignment did not remain stable across enough usable K values (low_global_K_agreement).	GREEN	Stable Step 4 assignment with high confidence and no strong RF contradiction.	Subregion top call was E_Asia, but it is not reported because the subregion assignment did not remain stable across enough usable SNP-panel sizes/K values (low_global_K_agreement). This is a Step 4 stability-filter result and is independent of the Random Forest corroboration category.	Report macroregion as stable; do not over-interpret subregion.	Bd_2023_5: best-supported genetic origin = Asia (macroregion, GREEN).	Not assessable: sample-origin country unknown	No known commodity-origin country is available for this sample. This is expected for trapped adults.
Bd_2023_6	Unknown	Asia	High	ok	11086	1	1	1	1	0.5	200	7	16	7	11073	S_Asia	High	ok	P3_Asia	11086	1	1	1	1	0.5	500	6	16	6	11074	Belgium	Belgium	Others	Other	FALSE	Asia	High	ok	1	1	1	1	7	S_Asia	High	ok	P3_Asia	1	1	1	1	6		Unknown for trapped adults or unavailable metadata			Asia	Macroregion-level interpretation from Vanbergen et al. 2025 Table 2 / discussion	Consistent with Vanbergen et al. 2025 macroregion	Asia	0.957	0.914	High	ok	supports_step4_macroregion	E_Africa	0.551	0.248	Low	ok	not_interpreted_step4_not_africa	S_Asia	0.5	0.201	Low	ok	supports_step4_subregion	S_Asia	0.5	0.201	Low	TRUE	TRUE	FALSE	FALSE	RF supports macroregion	RF macroregion call agrees with Step 4 macroregion call (RF=Asia, Step4=Asia) with accepted RF confidence (High).	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	subregion	S_Asia	High	Report subregion: Step 4 subregion call is High/Moderate.	GREEN	Stable Step 4 assignment with high confidence and no strong RF contradiction.	Not applicable: subregion is reported as S_Asia with High Step 4 confidence.	Report subregion as the best-supported origin. Retain full audit trail.	Bd_2023_6: best-supported genetic origin = S_Asia (subregion, GREEN).	Not assessable: sample-origin country unknown	No known commodity-origin country is available for this sample. This is expected for trapped adults.
Bd_2023_7	Unknown	Africa	High	ok	11086	1	1	1	1	0.5	500	6	16	6	11081	E_Africa	Uncertain	low_global_K_agreement	P2_Africa	11001	1	1	0.5	1	0.5	5000	6	16	6	10993	Belgium	Belgium	Others	Other	FALSE	Africa	High	ok	1	1	1	1	6	E_Africa	Uncertain	low_global_K_agreement	P2_Africa	1	1	0.5	1	6		Unknown for trapped adults or unavailable metadata			Africa	Macroregion-level interpretation from Vanbergen et al. 2025 Table 2 / discussion	Consistent with Vanbergen et al. 2025 macroregion	Africa	0.846	0.692	Low	ok	supports_step4_macroregion	E_Africa	0.531	0.21	Low	ok	step4_subregion_uncertain	SE_Asia	0.48	0.198	Uncertain	ok	not_interpreted_step4_not_asia	E_Africa	0.531	0.21	Low	TRUE	TRUE	FALSE	FALSE	RF weakly supports macroregion	RF macroregion top class agrees with Step 4 macroregion call (RF=Africa, Step4=Africa), but RF confidence is Low. This is directional agreement only, not strong independent corroboration. If subregion is not reported, this is due to Step 4 subregion filtering, e.g. low_global_K_agreement, not because RF caused the subregion to be withheld.	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	macroregion	Africa	High	Report macroregion only: Step 4 macroregion is High/Moderate, but the subregion call is withheld because subregion assignment did not remain stable across enough usable K values (low_global_K_agreement).	GREEN	Stable Step 4 assignment with high confidence and no strong RF contradiction.	Subregion top call was E_Africa, but it is not reported because the subregion assignment did not remain stable across enough usable SNP-panel sizes/K values (low_global_K_agreement). This is a Step 4 stability-filter result and is independent of the Random Forest corroboration category.	Report macroregion as stable; do not over-interpret subregion.	Bd_2023_7: best-supported genetic origin = Africa (macroregion, GREEN).	Not assessable: sample-origin country unknown	No known commodity-origin country is available for this sample. This is expected for trapped adults.
Bd_2024_1	Unknown	Asia	High	ok	11086	1	1	1	1	0.5	200	7	16	7	11069	S_Asia	High	ok	P3_Asia	11086	1	1	1	1	0.5	500	6	16	6	11060	Belgium	Belgium	Others	Other	FALSE	Asia	High	ok	1	1	1	1	7	S_Asia	High	ok	P3_Asia	1	1	1	1	6		Unknown for trapped adults or unavailable metadata			Asia	Macroregion-level interpretation from Vanbergen et al. 2025 Table 2 / discussion	Consistent with Vanbergen et al. 2025 macroregion	Asia	0.97	0.94	High	ok	supports_step4_macroregion	E_Africa	0.531	0.23	Low	ok	not_interpreted_step4_not_africa	S_Asia	0.355	0.011	Uncertain	ok	supports_step4_subregion	S_Asia	0.355	0.011	Uncertain	TRUE	TRUE	FALSE	FALSE	RF supports macroregion	RF macroregion call agrees with Step 4 macroregion call (RF=Asia, Step4=Asia) with accepted RF confidence (High).	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	subregion	S_Asia	High	Report subregion: Step 4 subregion call is High/Moderate.	GREEN	Stable Step 4 assignment with high confidence and no strong RF contradiction.	Not applicable: subregion is reported as S_Asia with High Step 4 confidence.	Report subregion as the best-supported origin. Retain full audit trail.	Bd_2024_1: best-supported genetic origin = S_Asia (subregion, GREEN).	Not assessable: sample-origin country unknown	No known commodity-origin country is available for this sample. This is expected for trapped adults.
Bd_2024_2	Unknown	Africa	High	ok	11086	1	1	1	1	0.5	500	6	16	6	11064	E_Africa	Uncertain	low_global_K_agreement	P2_Africa	11001	0.999999999980881	0.999999999961762	0.666666666666667	1	0.5	5000	6	16	6	10984	Belgium	Belgium	Others	Other	FALSE	Africa	High	ok	1	1	1	1	6	E_Africa	Uncertain	low_global_K_agreement	P2_Africa	0.999999999980881	0.999999999961762	0.666666666666667	1	6		Unknown for trapped adults or unavailable metadata			Africa	Macroregion-level interpretation from Vanbergen et al. 2025 Table 2 / discussion	Consistent with Vanbergen et al. 2025 macroregion	Africa	0.862	0.724	Moderate	ok	supports_step4_macroregion	E_Africa	0.579	0.289	Low	ok	step4_subregion_uncertain	SE_Asia	0.427	0.083	Uncertain	ok	not_interpreted_step4_not_asia	E_Africa	0.579	0.289	Low	TRUE	TRUE	FALSE	FALSE	RF supports macroregion	RF macroregion call agrees with Step 4 macroregion call (RF=Africa, Step4=Africa) with accepted RF confidence (Moderate).	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	macroregion	Africa	High	Report macroregion only: Step 4 macroregion is High/Moderate, but the subregion call is withheld because subregion assignment did not remain stable across enough usable K values (low_global_K_agreement).	GREEN	Stable Step 4 assignment with high confidence and no strong RF contradiction.	Subregion top call was E_Africa, but it is not reported because the subregion assignment did not remain stable across enough usable SNP-panel sizes/K values (low_global_K_agreement). This is a Step 4 stability-filter result and is independent of the Random Forest corroboration category.	Report macroregion as stable; do not over-interpret subregion.	Bd_2024_2: best-supported genetic origin = Africa (macroregion, GREEN).	Not assessable: sample-origin country unknown	No known commodity-origin country is available for this sample. This is expected for trapped adults.
Bd_2024_3	Unknown	Asia	High	ok	11086	1	1	1	1	0.5	200	7	16	7	11075	S_Asia	High	ok	P3_Asia	11086	1	1	1	1	0.5	500	6	16	6	11073	Belgium	Belgium	Others	Other	FALSE	Asia	High	ok	1	1	1	1	7	S_Asia	High	ok	P3_Asia	1	1	1	1	6		Unknown for trapped adults or unavailable metadata			Asia	Macroregion-level interpretation from Vanbergen et al. 2025 Table 2 / discussion	Consistent with Vanbergen et al. 2025 macroregion	Asia	0.882	0.764	Moderate	ok	supports_step4_macroregion	E_Africa	0.578	0.302	Low	ok	not_interpreted_step4_not_africa	SE_Asia	0.418	0.058	Uncertain	ok	discordant_with_step4_subregion	SE_Asia	0.418	0.058	Uncertain	TRUE	FALSE	FALSE	FALSE	RF supports macroregion	RF macroregion call agrees with Step 4 macroregion call (RF=Asia, Step4=Asia) with accepted RF confidence (Moderate).	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	subregion	S_Asia	High	Report subregion: Step 4 subregion call is High/Moderate.	GREEN	Stable Step 4 assignment with high confidence and no strong RF contradiction.	Not applicable: subregion is reported as S_Asia with High Step 4 confidence.	Report subregion as the best-supported origin. Retain full audit trail.	Bd_2024_3: best-supported genetic origin = S_Asia (subregion, GREEN).	Not assessable: sample-origin country unknown	No known commodity-origin country is available for this sample. This is expected for trapped adults.
Bd_2024_4	Unknown	Asia	High	ok	11086	1	1	1	1	0.5	200	7	16	7	11079	S_Asia	High	ok	P3_Asia	11086	1	1	1	1	0.5	500	6	16	6	11076	Belgium	Belgium	Others	Other	FALSE	Asia	High	ok	1	1	1	1	7	S_Asia	High	ok	P3_Asia	1	1	1	1	6		Unknown for trapped adults or unavailable metadata			Asia	Macroregion-level interpretation from Vanbergen et al. 2025 Table 2 / discussion	Consistent with Vanbergen et al. 2025 macroregion	Asia	0.914	0.828	Moderate	ok	supports_step4_macroregion	E_Africa	0.567	0.245	Low	ok	not_interpreted_step4_not_africa	E_Asia	0.391	0.084	Uncertain	ok	discordant_with_step4_subregion	E_Asia	0.391	0.084	Uncertain	TRUE	FALSE	FALSE	FALSE	RF supports macroregion	RF macroregion call agrees with Step 4 macroregion call (RF=Asia, Step4=Asia) with accepted RF confidence (Moderate).	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	subregion	S_Asia	High	Report subregion: Step 4 subregion call is High/Moderate.	GREEN	Stable Step 4 assignment with high confidence and no strong RF contradiction.	Not applicable: subregion is reported as S_Asia with High Step 4 confidence.	Report subregion as the best-supported origin. Retain full audit trail.	Bd_2024_4: best-supported genetic origin = S_Asia (subregion, GREEN).	Not assessable: sample-origin country unknown	No known commodity-origin country is available for this sample. This is expected for trapped adults.
